elapsed_s,rss_mb,uss_mb,handles,threads,cpu_pct,delta_mb,note
507.5,60.6,43.0,540,48,0.0,0.0,
508.5,60.6,43.0,540,48,0.0,0.0,
509.6,60.6,43.0,540,48,0.0,0.0,
510.6,60.6,43.0,540,48,0.0,0.0,
511.6,60.6,43.0,540,48,0.0,0.0,
512.6,60.6,43.0,540,48,0.0,0.0,
513.6,60.6,43.0,540,48,0.0,0.0,
514.6,60.6,43.0,540,48,0.0,0.0,
515.6,60.6,43.0,540,48,0.0,0.0,
516.6,60.6,43.0,540,48,0.0,0.0,
517.6,60.6,43.0,540,48,0.0,0.0,
518.6,60.6,43.0,540,48,0.0,0.0,
519.7,60.6,43.0,540,48,0.0,0.0,
520.7,60.6,43.0,540,48,0.0,0.0,
521.7,60.6,43.0,540,48,0.0,0.0,
522.7,60.6,43.0,540,48,0.0,0.0,
523.7,60.6,43.0,540,48,0.0,0.0,
524.7,60.6,43.0,540,48,0.0,0.0,
525.7,60.6,43.0,540,48,0.0,0.0,
526.7,60.6,43.0,540,48,0.0,0.0,
527.7,60.6,43.0,540,48,0.0,0.0,
528.7,60.6,43.0,540,48,0.0,0.0,
529.7,60.6,43.0,540,48,0.0,0.0,
530.8,60.6,43.0,540,48,0.0,0.0,
531.8,60.6,43.0,540,48,0.0,0.0,
532.8,60.6,43.0,540,48,0.0,0.0,
533.8,60.6,43.0,540,48,0.0,0.0,
534.8,60.6,43.0,540,48,0.0,0.0,
535.8,60.6,43.0,540,48,0.0,0.0,
536.8,60.6,43.0,540,48,0.0,0.0,
537.8,60.6,43.0,540,48,0.0,0.0,
538.8,60.6,43.0,540,48,0.0,0.0,
539.8,60.6,43.0,540,48,0.0,0.0,
540.9,60.6,43.0,540,48,0.0,0.0,
541.9,60.6,43.0,540,48,0.0,0.0,
542.9,60.6,43.0,540,48,0.0,0.0,
543.9,60.6,43.0,540,48,0.0,0.0,
544.9,60.6,43.0,540,48,0.0,0.0,
545.9,60.6,43.0,540,48,0.0,0.0,
546.9,60.6,43.0,540,48,0.0,0.0,
547.9,60.6,43.0,540,48,0.0,0.0,
548.9,60.6,43.0,540,48,0.0,0.0,
549.9,60.6,43.0,540,48,0.0,0.0,
550.9,60.6,43.0,540,48,0.0,0.0,
